Family,Type,Subtype,Full Type Code,id_product_fulltype
apparel,underwear,thermal_wear,apparel-underwear-thermal_wear,8645
apparel,loungewear_sleepwear,bath_robe,apparel-loungewear_sleepwear-bath_robe,8549
apparel,loungewear_sleepwear,sleepwear_robe,apparel-loungewear_sleepwear-sleepwear_robe,8548
apparel,ethnic_wear,dresses,apparel-ethnic_wear-dresses,8408
apparel,traditional_wear,bisht,apparel-traditional_wear-bisht,8389
apparel,traditional_wear,modest_sets,apparel-traditional_wear-modest_sets,8388
apparel,traditional_wear,modest_dresses,apparel-traditional_wear-modest_dresses,8387
apparel,traditional_wear,modest_skirts,apparel-traditional_wear-modest_skirts,8386
apparel,traditional_wear,modest_pants,apparel-traditional_wear-modest_pants,8385
apparel,traditional_wear,modest_jackets,apparel-traditional_wear-modest_jackets,8384
apparel,traditional_wear,modest_tops,apparel-traditional_wear-modest_tops,8383
apparel,co_ord_sets,co_ord_t_shirts,apparel-co_ord_sets-co_ord_t_shirts,8197
apparel,co_ord_sets,co_ord_tracksuits,apparel-co_ord_sets-co_ord_tracksuits,8196
apparel,co_ord_sets,co_ord_tops,apparel-co_ord_sets-co_ord_tops,8195
apparel,co_ord_sets,co_ord_leggings,apparel-co_ord_sets-co_ord_leggings,8194
apparel,co_ord_sets,co_ord_pants,apparel-co_ord_sets-co_ord_pants,8193
apparel,co_ord_sets,co_ord_dresses,apparel-co_ord_sets-co_ord_dresses,8192
apparel,blazers_suits,dress_shirt,apparel-blazers_suits-dress_shirt,8191
apparel,fashion_accessories,fashion_facemask,apparel-fashion_accessories-fashion_facemask,8169
apparel,traditional_wear,prayer_caps,apparel-traditional_wear-prayer_caps,8153
apparel,traditional_wear,hajj_umrah_clothing,apparel-traditional_wear-hajj_umrah_clothing,8152
apparel,traditional_wear,praying_clothes,apparel-traditional_wear-praying_clothes,8151
apparel,traditional_wear,body_cover,apparel-traditional_wear-body_cover,8150
apparel,traditional_wear,underscarf_bonnet,apparel-traditional_wear-underscarf_bonnet,8149
apparel,traditional_wear,turban,apparel-traditional_wear-turban,8148
apparel,traditional_wear,hijab,apparel-traditional_wear-hijab,8147
apparel,traditional_wear,hijab_pins,apparel-traditional_wear-hijab_pins,8146
apparel,tracksuit,tracksuit_sets,apparel-tracksuit-tracksuit_sets,8145
apparel,tracksuit,track_jacket,apparel-tracksuit-track_jacket,8144
apparel,tracksuit,track_pants,apparel-tracksuit-track_pants,8143
apparel,swimwear,bikini_bottom,apparel-swimwear-bikini_bottom,8142
apparel,unstitched_fabric,unstitched_fabric_sets,apparel-unstitched_fabric-unstitched_fabric_sets,8044
apparel,socks_tights,stockings,apparel-socks_tights-stockings,7778
apparel,tops,camis,apparel-tops-camis,7776
apparel,lingerie,bottoms,apparel-lingerie-bottoms,7775
apparel,fashion_accessories,ties,apparel-fashion_accessories-ties,7774
apparel,fashion_accessories,scarves,apparel-fashion_accessories-scarves,7773
apparel,fashion_accessories,hat,apparel-fashion_accessories-hat,7772
apparel,fashion_accessories,ear_muffs,apparel-fashion_accessories-ear_muffs,7771
apparel,fashion_accessories,cap,apparel-fashion_accessories-cap,7770
apparel,fashion_accessories,beanies,apparel-fashion_accessories-beanies,7769
apparel,fashion_accessories,braces_suspenders,apparel-fashion_accessories-braces_suspenders,7768
apparel,bottoms,joggers,apparel-bottoms-joggers,7767
apparel,sets,sets,apparel-sets-sets,7468
apparel,fashion_accessories,mittens,apparel-fashion_accessories-mittens,7419
apparel,swimwear,cover_up,apparel-swimwear-cover_up,7417
apparel,bottoms,skirts,apparel-bottoms-skirts,7416
apparel,bottoms,shorts,apparel-bottoms-shorts,7415
apparel,bottoms,sweatpants,apparel-bottoms-sweatpants,7414
apparel,bottoms,pants,apparel-bottoms-pants,7412
apparel,bottoms,jeggings,apparel-bottoms-jeggings,7411
apparel,bottoms,jeans,apparel-bottoms-jeans,7410
